GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.util,LoggerProgressMonitor,0,170,4,6,0,21,4,7,0,6
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.exception,NoSuchResourceInGitException,4,0,0,0,2,0,1,0,1,0
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.exception,GitCloneException,5,0,0,0,2,0,1,0,1,0
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.exception,GitPushException,9,0,0,0,4,0,2,0,2,0
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.exception,GitException,9,0,0,0,4,0,2,0,2,0
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git.exception,GitAuthenticationException,5,0,0,0,2,0,1,0,1,0
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git,GitConfiguration,5,66,2,2,1,17,2,8,0,8
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git,GitConnection,245,323,20,16,39,66,15,21,3,15
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git,GitWagon,101,49,0,0,15,16,2,7,2,7
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git,GitConnection.new SimpleFileVisitor() {...},0,49,0,2,0,7,0,4,0,3
Git Wagon Provider,com.github.jonasrutishauser.maven.wagon.git,GitConnection.new SimpleFileVisitor() {...},0,11,0,0,0,5,0,3,0,3
